player,n_outside_box_shots,goals_scored,expected_goals,difference
chris mavinga,5,0.0,0.14341106602498332,0.14341106602498332
alejandro martinuccio,5,0.0,0.14356811379585724,0.14356811379585724
adama diakhaby,5,0.0,0.14356811379585724,0.14356811379585724
abdoulwahid sissoko,5,0.0,0.14363464173951504,0.14363464173951504
bryan pele,5,0.0,0.14363464173951504,0.14363464173951504
simon rolfes,41,1.0,1.1441575040041017,0.14415750400410182
julien faussurier,5,0.0,0.14417046920296192,0.14417046920296192
luigi bruins,5,0.0,0.14432751697383583,0.14432751697383583
gaztanaga,3,0.0,0.14453049594397263,0.14453049594397263
bernardo,5,0.0,0.14482118478292222,0.14482118478292222
thiago xavier,5,0.0,0.14482118478292222,0.14482118478292222
jeremy sorbon,3,0.0,0.14533844608085386,0.14533844608085386
daniel jensen,3,0.0,0.1455620217953856,0.1455620217953856
alexandre mendy,5,0.0,0.14558058796090084,0.14558058796090084
ruben loftuscheek,5,0.0,0.14558058796090084,0.14558058796090084
cezary wilk,5,0.0,0.14558058796090084,0.14558058796090084
andrea raggi,5,0.0,0.14558058796090084,0.14558058796090084
uche,4,0.0,0.14564322913698374,0.14564322913698374
erik moran,5,0.0,0.14579897961717025,0.14579897961717025
carlos embalo,5,0.0,0.14591156843962286,0.14591156843962286
emre mor,5,0.0,0.14591156843962286,0.14591156843962286
ulisses garcia,5,0.0,0.14591156843962286,0.14591156843962286
dante,6,0.0,0.14594385873797966,0.14594385873797966
ibrahima traore,70,2.0,2.1468142657879965,0.14681426578799622
benno schmitz,3,0.0,0.14709818072833922,0.14709818072833922
brayan angulo,5,0.0,0.14723116737034567,0.14723116737034567
julian luque,4,0.0,0.14748217367689706,0.14748217367689706
marcel hartel,4,0.0,0.14748217367689706,0.14748217367689706
silvan widmer,5,0.0,0.14765830723577425,0.14765830723577425
nicola legrottaglie,5,0.0,0.14776699483379255,0.14776699483379255
marc pfitzner,5,0.0,0.14826066264287893,0.14826066264287893
milivoje novakovic,5,0.0,0.14841771041375285,0.14841771041375285
ziri hammar,5,0.0,0.14841771041375285,0.14841771041375285
davide calabria,5,0.0,0.14841771041375285,0.14841771041375285
kamel ghilas,5,0.0,0.14841771041375285,0.14841771041375285
rafael martins,5,0.0,0.14841771041375285,0.14841771041375285
nilmar,5,0.0,0.14841771041375285,0.14841771041375285
jonathan zebina,5,0.0,0.14841771041375285,0.14841771041375285
frederic kanoute,5,0.0,0.14891137822283923,0.14891137822283923
igor budan,5,0.0,0.14891137822283923,0.14891137822283923
sofian chahed,4,0.0,0.149076305593196,0.149076305593196
samuel bouhours,6,0.0,0.1493592897928169,0.1493592897928169
nenad tomovic,5,0.0,0.14939550524800085,0.14939550524800085
daniel pavlovic,10,0.0,0.1494904145013967,0.1494904145013967
christian atsu,5,0.0,0.15000176187953987,0.15000176187953987
roberto rosales,35,1.0,1.1500371628840056,0.15003716288400556
enzo reale,5,0.0,0.15070183843595839,0.15070183843595839
alexander farnerud,38,1.0,1.1508293592289967,0.15082935922899646
adam clayton,5,0.0,0.15109778509573094,0.15109778509573094
adam matuschyk,5,0.0,0.15125483286660488,0.15125483286660488
arnaud le lan,4,0.0,0.15128936322560624,0.15128936322560624
abdoulaye keita,5,0.0,0.15159145290481735,0.15159145290481735
gerard pique,6,0.0,0.15180721999594082,0.15180721999594082
hernan,5,0.0,0.15185718827370956,0.15185718827370956
serge nguessan,5,0.0,0.15185718827370956,0.15185718827370956
cristian llama,5,0.0,0.15238981676653113,0.15238981676653113
neal maupay,5,0.0,0.15250790385366986,0.15250790385366986
ibrahim amadou,5,0.0,0.15250790385366986,0.15250790385366986
levent aycicek,5,0.0,0.15250790385366986,0.15250790385366986
simone bentivoglio,5,0.0,0.15250790385366986,0.15250790385366986
daniel candeias,5,0.0,0.15250790385366986,0.15250790385366986
juan carlos valeron,5,0.0,0.15250790385366986,0.15250790385366986
laurent batlles,5,0.0,0.15250790385366988,0.15250790385366988
julien toudic,6,0.0,0.15257002587420126,0.15257002587420126
amir abrashi,4,0.0,0.15267283122402664,0.15267283122402664
riza durmisi,8,0.0,0.1530203960203611,0.1530203960203611
toifilou maoulida,5,0.0,0.15325041171649406,0.15325041171649406
erjon bogdani,5,0.0,0.15348569868791787,0.15348569868791787
edouard cisse,6,0.0,0.1537152186016261,0.1537152186016261
bruno ecuele manga,5,0.0,0.15404028190506383,0.15404028190506383
younes kaabouni,5,0.0,0.15409195531945688,0.15409195531945688
branislav ivanovic,38,1.0,1.1549469267181987,0.15494692671819835
daniele bonera,5,0.0,0.15518797853564795,0.15518797853564795
sebastien de maio,5,0.0,0.15534502630652186,0.15534502630652186
cedric yambere,5,0.0,0.15534502630652186,0.15534502630652186
pol lirola,5,0.0,0.15534502630652186,0.15534502630652186
adrian calello,5,0.0,0.15534502630652186,0.15534502630652186
josh murphy,5,0.0,0.1553450263065219,0.1553450263065219
danny simpson,6,0.0,0.15545241661385273,0.15545241661385273
almen abdi,36,1.0,1.1555330701585007,0.15553307015850065
tom trybull,6,0.0,0.15571079745151534,0.15571079745151534
jeanvictor makengo,6,0.0,0.15579293787649953,0.15579293787649953
aron johannsson,5,0.0,0.1563760833416624,0.1563760833416624
florian raspentino,26,1.0,1.1565177869295635,0.15651778692956328
deniz dogan,8,0.0,0.15684499858210638,0.15684499858210638
guerrero,5,0.0,0.1576291543287274,0.1576291543287274
diego carlos,5,0.0,0.15816666770872007,0.15816666770872007
callum wilson,5,0.0,0.1581821487593739,0.1581821487593739
juan carlos paredes,5,0.0,0.15878450416647857,0.15878450416647857
alessandro longhi,5,0.0,0.15931715526996718,0.15931715526996718
milorad pekovic,6,0.0,0.15938946350733013,0.15938946350733013
sebastian cristoforo,5,0.0,0.15943521974643887,0.15943521974643887
oleksandr iakovenko,5,0.0,0.15943521974643887,0.15943521974643887
abraham guie guie,5,0.0,0.15943521974643887,0.15943521974643887
dylan bahamboula,5,0.0,0.15943521974643887,0.15943521974643887
antonio valencia,5,0.0,0.1594352197464389,0.1594352197464389
maxime lopez,5,0.0,0.1594352197464389,0.1594352197464389
patrick ziegler,4,0.0,0.15960014711679565,0.15960014711679565
laurent bonnart,5,0.0,0.15997273312643157,0.15997273312643157
loic puyo,10,0.0,0.16001229250984375,0.16001229250984375
alvaro arbeloa,5,0.0,0.16050369831337435,0.16050369831337435
kurt zouma,8,0.0,0.16064924014289178,0.16064924014289178
michael williamson,5,0.0,0.16083411262427044,0.16083411262427044
tim hoogland,5,0.0,0.16162162661933058,0.16162162661933058
cristian gomez,6,0.0,0.16222658596018216,0.16222658596018216
jeffren,7,0.0,0.16225887625853896,0.16225887625853896
anselmo,5,0.0,0.1622723421992909,0.1622723421992909
mohamed larbi,5,0.0,0.1622723421992909,0.1622723421992909
park chuyoung,7,0.0,0.16238978083979003,0.16238978083979003
kagisho dikgacoi,5,0.0,0.16280985557928357,0.16280985557928357
victor,34,1.0,1.1631982564256171,0.16319825642561722
zouhair feddal,5,0.0,0.16331651923970394,0.16331651923970394
florentin pogba,5,0.0,0.16367123507712245,0.16367123507712245
fernando marcal,5,0.0,0.1646836868115214,0.1646836868115214
ferdinando sforzini,4,0.0,0.16472139759185317,0.16472139759185317
pape abdou camara,7,0.0,0.1647948499548436,0.1647948499548436
rachid,6,0.0,0.16499846330320436,0.16499846330320436
mustapha diallo,6,0.0,0.1649984633032044,0.1649984633032044
vincent marchetti,6,0.0,0.16530591953839036,0.16530591953839036
helder costa,7,0.0,0.16560248376356723,0.16560248376356723
lucas torreira,6,0.0,0.16577053937949718,0.16577053937949718
nano,6,0.0,0.16582311159101276,0.16582311159101276
pablo martinez,6,0.0,0.16615973162922526,0.16615973162922526
yuya osako,31,1.0,1.1663584226754773,0.16635842267547693
renato sanches,5,0.0,0.16636253563920791,0.16636253563920791
ousman manneh,5,0.0,0.16636253563920791,0.16636253563920791
abel khaled,5,0.0,0.16636253563920791,0.16636253563920791
gaetano berardi,5,0.0,0.16636253563920791,0.16636253563920791
tommaso arrigoni,5,0.0,0.16636253563920791,0.16636253563920791
pablo chavarria,5,0.0,0.16636253563920791,0.16636253563920791
ruben duarte,6,0.0,0.166383307343757,0.166383307343757
theo hernandez,6,0.0,0.166383307343757,0.166383307343757
tim matavz,6,0.0,0.16649246258179753,0.16649246258179753
javi fuego,37,1.0,1.1672689018008613,0.16726890180086113
anthony pilkington,7,0.0,0.16762856970741374,0.16762856970741374
giandomenico mesto,6,0.0,0.1678355857560564,0.1678355857560564
kalidou koulibaly,4,0.0,0.1682441594559697,0.1682441594559697
cesare natali,4,0.0,0.1682441594559697,0.1682441594559697
alou diarra,6,0.0,0.16832925356514278,0.16832925356514278
kevin kratz,8,0.0,0.1684466922056419,0.1684466922056419
nicki bille,6,0.0,0.1685816658297907,0.1685816658297907
valeri bojinov,6,0.0,0.1686602340438648,0.1686602340438648
momo,7,0.0,0.1686925243422216,0.1686925243422216
roberto vitiello,5,0.0,0.16908645589209229,0.16908645589209229
marcel halstenberg,7,0.0,0.16916428706154282,0.16916428706154282
bostjan cesar,5,0.0,0.1696154238544012,0.1696154238544012
matthew lowton,5,0.0,0.1697371714720526,0.1697371714720526
liassine cadamuro,4,0.0,0.16999087185519507,0.16999087185519507
mitchell weiser,6,0.0,0.17040697284001619,0.17040697284001619
pierrick valdivia,37,1.0,1.1709354367982852,0.1709354367982851
armando izzo,6,0.0,0.17116637601799478,0.17116637601799478
dani castellano,6,0.0,0.17167303967841516,0.17167303967841516
dani benitez,43,1.0,1.1719039666141182,0.17190396661411814
andrea barberis,6,0.0,0.1719257791959734,0.1719257791959734
toni,7,0.0,0.17210795539705884,0.17210795539705884
alberto lora,6,0.0,0.17272852239401665,0.17272852239401665
fabricio coloccini,5,0.0,0.17305617939222318,0.17305617939222318
kylian mbappelottin,5,0.0,0.1738273649119696,0.1738273649119696
lucio,6,0.0,0.1740034984708468,0.1740034984708468
alexandre alphonse,6,0.0,0.1740034984708468,0.1740034984708468
julian derstroff,5,0.0,0.1741950766007221,0.1741950766007221
juan gomez taleb,6,0.0,0.17461697790748065,0.17461697790748065
filip djuricic,6,0.0,0.1747629016488254,0.1747629016488254
enrique de lucas,8,0.0,0.1748803402893245,0.1748803402893245
ivan rakitic,136,4.0,4.175054006505298,0.17505400650529204
ishmael yartey,6,0.0,0.17509388212754742,0.17509388212754742
